is_weekend,hour,init_power_class,end_power_class,n,n_from,p
0,0,high,high,1146,1260,0.9095238095238095
0,0,high,inactive,11,1260,0.00873015873015873
0,0,high,low,103,1260,0.08174603174603175
0,0,inactive,inactive,3,3,1.0
0,0,low,inactive,22,58,0.3793103448275862
0,0,low,low,36,58,0.6206896551724138
0,1,high,high,774,838,0.9236276849642004
0,1,high,inactive,5,838,0.0059665871121718375
0,1,high,low,59,838,0.07040572792362769
0,1,inactive,inactive,1,1,1.0
0,1,low,inactive,14,28,0.5
0,1,low,low,14,28,0.5
0,2,high,high,400,430,0.9302325581395349
0,2,high,inactive,7,430,0.01627906976744186
0,2,high,low,23,430,0.053488372093023255
0,2,low,inactive,10,19,0.5263157894736842
0,2,low,low,9,19,0.47368421052631576
0,3,high,high,231,259,0.8918918918918919
0,3,high,inactive,4,259,0.015444015444015444
0,3,high,low,24,259,0.09266409266409266
0,3,low,inactive,2,11,0.18181818181818182
0,3,low,low,9,11,0.8181818181818182
0,4,high,high,166,180,0.9222222222222223
0,4,high,inactive,2,180,0.011111111111111112
0,4,high,low,12,180,0.06666666666666667
0,4,low,inactive,6,13,0.46153846153846156
0,4,low,low,7,13,0.5384615384615384
0,5,high,high,87,95,0.9157894736842105
0,5,high,low,8,95,0.08421052631578947
0,5,low,inactive,1,5,0.2
0,5,low,low,4,5,0.8
0,6,high,high,138,151,0.9139072847682119
0,6,high,inactive,2,151,0.013245033112582781
0,6,high,low,11,151,0.0728476821192053
0,6,inactive,inactive,1,1,1.0
0,6,low,inactive,3,6,0.5
0,6,low,low,3,6,0.5
0,7,high,high,554,623,0.8892455858747994
0,7,high,inactive,7,623,0.011235955056179775
0,7,high,low,62,623,0.09951845906902086
0,7,low,inactive,10,31,0.3225806451612903
0,7,low,low,21,31,0.6774193548387096
0,8,high,high,1301,1424,0.913623595505618
0,8,high,inactive,11,1424,0.007724719101123595
0,8,high,low,112,1424,0.07865168539325842
0,8,inactive,inactive,2,2,1.0
0,8,low,inactive,19,60,0.31666666666666665
0,8,low,low,41,60,0.6833333333333333
0,9,high,high,1921,2091,0.9186991869918699
0,9,high,inactive,11,2091,0.0052606408417025345
0,9,high,low,159,2091,0.07604017216642754
0,9,inactive,inactive,4,4,1.0
0,9,low,inactive,36,109,0.3302752293577982
0,9,low,low,73,109,0.6697247706422018
0,10,high,high,2167,2343,0.9248826291079812
0,10,high,inactive,15,2343,0.006402048655569782
0,10,high,low,161,2343,0.068715322236449
0,10,inactive,inactive,6,6,1.0
0,10,low,inactive,38,114,0.3333333333333333
0,10,low,low,76,114,0.6666666666666666
0,11,high,high,2498,2720,0.9183823529411764
0,11,high,inactive,16,2720,0.0058823529411764705
0,11,high,low,206,2720,0.07573529411764705
0,11,inactive,inactive,5,5,1.0
0,11,low,inactive,37,126,0.29365079365079366
0,11,low,low,89,126,0.7063492063492064
0,12,high,high,3184,3481,0.9146796897443263
0,12,high,inactive,26,3481,0.007469118069520253
0,12,high,low,271,3481,0.0778511921861534
0,12,inactive,inactive,6,6,1.0
0,12,low,inactive,59,206,0.28640776699029125
0,12,low,low,147,206,0.7135922330097088
0,13,high,high,3303,3566,0.9262478968031408
0,13,high,inactive,22,3566,0.0061693774537296695
0,13,high,low,241,3566,0.06758272574312955
0,13,inactive,inactive,7,7,1.0
0,13,low,inactive,74,223,0.33183856502242154
0,13,low,low,149,223,0.6681614349775785
0,14,high,high,3192,3516,0.9078498293515358
0,14,high,inactive,43,3516,0.012229806598407281
0,14,high,low,281,3516,0.07992036405005688
0,14,inactive,inactive,8,8,1.0
