origin,original_dest,recommended_dest,time_slot,incentive_amount,period_start_min,expected_flow,surplus_at_dest,deficit_at_redir,detour_m
0,0,1,2,1.2,30.0,0.169,2.85,0.49,400.0
1,0,1,2,1.2,30.0,0.169,2.85,0.49,400.0
2,0,1,2,1.2,30.0,0.169,2.85,0.49,400.0
3,0,1,2,1.2,30.0,0.135,2.85,0.49,400.0
4,0,1,2,1.2,30.0,0.135,2.85,0.49,400.0
5,0,1,2,1.2,30.0,0.135,2.85,0.49,400.0
6,0,1,2,1.2,30.0,0.135,2.85,0.49,400.0
0,1,0,2,1.2,30.0,0.169,2.85,0.49,400.0
1,1,0,2,1.2,30.0,0.169,2.85,0.49,400.0
2,1,0,2,1.2,30.0,0.169,2.85,0.49,400.0
3,1,0,2,1.2,30.0,0.135,2.85,0.49,400.0
4,1,0,2,1.2,30.0,0.135,2.85,0.49,400.0
5,1,0,2,1.2,30.0,0.135,2.85,0.49,400.0
6,1,0,2,1.2,30.0,0.135,2.85,0.49,400.0
0,2,1,2,1.2,30.0,0.169,2.85,0.49,400.0
1,2,1,2,1.2,30.0,0.169,2.85,0.49,400.0
2,2,1,2,1.2,30.0,0.169,2.85,0.49,400.0
3,2,1,2,1.2,30.0,0.135,2.85,0.49,400.0
4,2,1,2,1.2,30.0,0.135,2.85,0.49,400.0
5,2,1,2,1.2,30.0,0.135,2.85,0.49,400.0
6,2,1,2,1.2,30.0,0.135,2.85,0.49,400.0
0,3,2,2,1.2,30.0,0.169,8.14,0.49,400.0
1,3,2,2,1.2,30.0,0.169,8.14,0.49,400.0
2,3,2,2,1.2,30.0,0.169,8.14,0.49,400.0
3,3,2,2,1.2,30.0,0.135,8.14,0.49,400.0
4,3,2,2,1.2,30.0,0.135,8.14,0.49,400.0
5,3,2,2,1.2,30.0,0.135,8.14,0.49,400.0
6,3,2,2,1.2,30.0,0.135,8.14,0.49,400.0
7,3,2,2,1.2,30.0,0.085,8.14,0.49,400.0
8,3,2,2,1.2,30.0,0.085,8.14,0.49,400.0
9,3,2,2,1.2,30.0,0.085,8.14,0.49,400.0
0,4,0,2,1.2,30.0,0.169,8.14,0.49,400.0
